Sequence ID,Wormbase ID,Category 1,Category 2,Category 3,Description
T10B11.1,WBGene00020397,Metabolism,Metabolism: other,Metabolism: other,"pcbd-1 is orthologous to the human gene PTERIN-4-ALPHA-CARBINOLAMINE DEHYDRATASE (PCBD or TCF1; OMIM:126090), which when mutated leads to hyperphenylalaninemia with primapterinuria."
T10B11.2,WBGene00020398,Metabolism,Metabolism: lipid,Metabolism: lipid: sphingolipid,"cerk-1 is an ortholog of human Cerk (ceramide kinase); cerk-1 is expressed in the hypodermis, nervous system, reproductive system, and the intestine."
C30F12.7,WBGene00016266,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: citric acid cycle,"C30F12.7 encodes the C. elegans homolog of the gamma subunit of an NAD+-dependent mitochondrial isocitrate dehydrogenase; by homology, the product of C30F12.7 is predicted to catalyze the formation of alpha-ketoglutarate from isocitrate as part of the citric acid cycle."
H06O01.1,WBGene00003964,Protein modification,Protein modification: other,Protein modification: other,"pdi-3 encodes a protein disulfide isomerase (PDI) required for normal cuticle collagen deposition and, subliminally, for maintenance of normal body shape; PDI-3 has both PDI and calcium-dependent transglutaminase activity in vitro, crosslinking proteins through a gamma-glutamyl epsilon-lysine dual residue; PDI-3 is homologous to the human PDI ERp60, as well as a homolog in the dog heartworm Dirofilaria immitis that is required for larval molting; the joint PDI/transglutaminase activity of PDI-3 is biochemically conserved in nematodes and mammals; pdi-3 is constitutively and broadly expressed, particularly in gut and hypodermis."
W01A8.4,WBGene00012166,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex I,nuo-6 encodes the C. elegans ortholog of the NDUFB4/B15 subunit of the mitochondrial NADH dehydrogenase (ubiquinone) complex (complex I).
F22D6.3,WBGene00003815,Non-translated RNA,Non-translated RNA: tRNA,Non-translated RNA: tRNA: production,nars-1 encodes an asparaginyl-tRNA synthetase that is required for embryonic viability and fertility.
F22D6.4,WBGene00009051,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex I,F22D6.4 encodes an NDUFS6/13 kDa subunit of the mitochondrial NADH dehydrogenase (ubiquinone) complex (complex I); F22D6.4 is required for oxidative phosphorylation and for resistance to volatile anesthetics.
M05B5.4,WBGene00010872,Metabolism,Metabolism: lipid,Metabolism: lipid: other,"The M05B5.4 gene encodes an ortholog of the human gene LECITHIN-CHOLESTEROL ACYLTRANSFERASE (LCAT; OMIM:606967), which when mutated leads to lecithin-cholesterol acyltransferase deficiency (OMIM:245900)."
R06C7.3,WBGene00000963,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"dhp-1 encodes a homolog of the human gene DPYS, which when mutated leads to dihydropyrimidinuria (OMIM:222748)."
R06C7.5,WBGene00011064,Metabolism,Metabolism: other,Metabolism: other,"The R06C7.5 gene encodes an ortholog of the human gene ADSL, which when mutated leads to adenylosuccinate lyase deficiency (OMIM:103050)."
F21C3.2,WBGene00009001,Neuronal function,Neuronal function: synaptic function,Neuronal function: synaptic function: neurotransmitter metabolism,"tyr-3 is an ortholog of human TYR (tyrosinase), TYRP1 (tyrosinase related protein 1) and DCT (dopachrome tautomerase); tyr-3 is predicted to have oxidoreductase activity, based on protein domain information; tyr-3 is expressed in the hmc."
F13G3.5,WBGene00008765,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"ttx-7 encodes, by alternative splicing, two isoforms of a myo-inositol monophosphatase (IMPase) required for normal thermotaxis and chemotaxis to sodium, as well as for subcellular localization of SNB-1 and SNG-1 in RIA interneurons; one isoform ('ttx-7a') has much higher transgenic rescuing activity of ttx-7(nj40) than the other ('ttx-7b'), so ttx-7a is considered the major isoform in vivo; a rescuing translational fusion of TTX-7 to EGFP is strongly expressed in coelomocytes and a few head and tail neurons, with weaker expression in motor neurons, intestine, and somatic gonad; TTX-7::EGFP is cytoplasmic, and can rescue mutant phenotypes when transiently expressed in adults; TTX-7 proteins are orthologous to human IMPA1 (OMIM:602064) and IMPA2 (OMIM:605922), possible mediators of manic depressive psychosis; ttx-7 mutations display ahtermic and chemotactic phenotypes, partially suppress the thermophilic phenotype of tax-6 mutations, and cause mislocalization of SNB-1 and SNG-1; while ttx-7 expression is required in RIA to rescue thermotaxis phenotypes, RIA in ttx-7 mutants is morphologically normal; ttx-7 mutant phenotypes can be rescued by exogenous inositol applied to adults; ttx-7 mutations can be phenocopied in wild-type worms by lithium treatment of adults, and this phenocopy can be suppressed by overexpression of a ttx-7 transgene, or by exogenous inositol or sorbitol; ttx-7 mutant development is delayed by exogenous galactose, implying a link between TTX-7/IMPase and galactose metabolism."
F52A8.5,WBGene00009918,Metabolism,Metabolism: amino acid,Metabolism: amino acid: breakdown,"F52A8.5 is orthologous to the human gene GLYCINE CLEAVAGE SYSTEM PROTEIN H (GCSH; OMIM:238330), which when mutated leads to glycine encephalopathy."
T25G3.2,WBGene00000496,Metabolism,Metabolism: amino sugar,Metabolism: amino sugar,"chs-1 encodes a chitin synthase, paralogous to CHS-2; chs-1 is required for embryonic chitin synthesis, eggshell synthesis and osmotic integrity, error-free chromosomal segregation during meiosis, polar body extrusion, association of the sperm pronucleus/centrosome complex (SPCC) with the early embryonic cortex, localization of PAR-2 in early embryos, posterior localization of P granules or PIE-1, and pseudocleavage; CHS-1 is also, independently of chitin synthesis, required for normal localization of MBK-2 to cortex and punctae in early embryos; CHS-1 is dispensable for synthesis of pharyngeal cuticle, since chs-1(ok1120) mutants have it normally; CHS-1 localizes to the oocyte plasma membrane and .cell cortex"
T25G3.4,WBGene00012031,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: other,"T25G3.4 encodes a putative mitochondrial glycerol-3-phosphate dehydrogenase, paralogous to Y50E8A.6 and orthologous to human GPD2 (OMIM:138430, mutated in type II diabetes mellitus); T25G3.4 transcripts are not obviously enriched during oogenesis, but T25G3.4 is predicted to be coexpressed in an operon with chs-1 and T25G3.3; such coexpression, if real, may simply reflect all three genes being required for oogenesis, rather than some more detailed functional connection; T25G3.4 has no obvious function in mass RNAi assays."
D2030.1,WBGene00008411,Trafficking,Trafficking: ER/Golgi,Trafficking: ER/Golgi: mannosidase,"mans-1 is an ortholog of human MAN1A1 (mannosidase, alpha1A, member 1), MAN1C1 (mannosidase, alpha1C, member 1) and MAN1A2 (mannosidase, alpha1A, member 2); mans-1 is involved in determination of adult lifespan; mans-1 has a calcium ion dependent mannosyl-oligosaccharide 1,2-alpha-mannosidase activity, based on enzymatic assay, with Man5-6GlcNAc2 products."
D2030.4,WBGene00008414,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex I,D2030.4 encodes the C. elegans ortholog of the NDUFB7/B18 subunit of the mitochondrial NADH dehydrogenase (ubiquinone) complex (complex I).
D2030.5,WBGene00008415,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,"mce-1 is an ortholog of human MCEE (methylmalonyl-CoA epimerase); mce-1 is expressed in the pharynx, hypodermis, intestine, and the body wall musculature; mce-1 is localized to the mitochondrion."
T23G11.2,WBGene00001647,Metabolism,Metabolism: amino sugar,Metabolism: amino sugar,"gna-2 encodes a glucosamine 6-phosphate N-acetyltransferase required for synthesis of UDP-N-acetylglucosamine (UDP-GlcNAc), N-acetylgalactosamine (UDP-GalNAc), alpha-GalNAc-modifications of mucin-like proteins, and chitin; GNA-2 is also required for eggshell synthesis and osmotic integrity, progression past meiosis metaphase I, error-free chromosomal segregation during meiosis, polar body extrusion, association of the sperm pronucleus/centrosome complex (SPCC) with the early embryonic cortex, localization of PAR-2 in early embryos, posterior localization of P granules or PIE-1, and pseudocleavage; gna-2 transcription is elevated during oogenesis; gna-2 mRNA is posttranslationally inhibited both by GLD-1 repression and by nonsense-mediated mRNA decay (NMD), with GLD-1 predominating in distal gonads and NMD (incompletely) predominating in proximal ones; gna-2 mRNA has two upstream open reading frames (uORFs) with premature stop codons, which normally cause NMD of this mRNA unless it is protected by GLD-1 binding to the gna-2 mRNA's 5' UTR; conversely, gna-2 mRNA is translationally repressed by bound GLD-1 during pachytene meiosis, and must be freed from this repression during diplotene meiosis for eggshell synthesis to proceed; gna-2(qa705) is suppressed by sup-46 mutations, but only in a gna-1(+) background."
F27D4.1,WBGene00009187,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: other,"The F27D4.1 gene encodes an ortholog of the human gene ELECTRON-TRANSFER-FLAVOPROTEIN, ALPHA POLYPEPTIDE (ETFA), which when mutated leads to glutaricaciduria type IIA (OMIM:231680)."
F27D4.5,WBGene00006518,Metabolism,Metabolism: amino acid,Metabolism: amino acid: breakdown,"bckd-1B is an ortholog of human BCKDHB (branched chain keto acid dehydrogenase E1 subunit beta); bckd-1B is predicted to have catalytic activity, based on protein domain information."
D2005.5,WBGene00008400,mRNA functions,mRNA functions: processing,mRNA functions: processing: helicase,"drh-3 encodes a DEAH/D-box helicase; drh-3 is required for germline RNAi and for production of several types of endogenous small RNA molecules; in addition, drh-3 plays an essential role in germ cell proliferation, gamete formation, and chromosome segregation; drh-3 is also involved in resistance to X-ray irradiation and genetic studies suggest that drh-3 may also control expression of small RNAs that regulate cell fate specification via Ras-ERK signaling; DRH-3 interacts with the DCR-1 endoribonuclease essential for several distinct small-RNA-mediated silencing pathways and with the RRF-1 RNA-directed RNA polymerase."
F30F8.2,WBGene00009271,Metabolism,Metabolism: amino acid,Metabolism: amino acid: synthesis,"glna-3 is an ortholog of human GLS2 (glutaminase 2) and GLS (glutaminase); glna-3 is predicted to have glutaminase activity, based on protein domain information; glna-3 is expressed in the head neurons."
R11A5.4,WBGene00011232,Metabolism,Metabolism: glycolysis,Metabolism: glycolysis,"pck-2 is one of three C. elegans genes that encode proteins with similarity to phosphoenolpyruvate carboxykinase (PEPCK); by similarity, the products of pck-2 are predicted to function in gluconeogenesis."
C54G4.8,WBGene00000869,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex III,"cyc-1 encodes a component of complex III ( cytochrome c reductase) required for normal ATP production; reduction of ATP production by cyc-1(RNAi) decreases growth rate and body size, slows behavior, and increases lifespan; cyc-1 encodes a protein predicted by Eisenberg and coworkers, with 52% accuracy, to be mitochondrial"
K04G2.5,WBGene00010564,Signaling,Signaling: lipid,Signaling: lipid: phospholipase: other,"ath-1 is an ortholog of human LYPLA1 (lysophospholipase I) and LYPLA2 (lysophospholipase II); ath-1 is predicted to have hydrolase activity, based on protein domain information."
T01G9.5,WBGene00003183,Development,Development: germline,Development: germline,"mei-1 encodes, by alternative splicing, two slightly different isoforms of an ortholog of the catalytic subunit of katanin (OMIM:606696) that is required for oocyte meiotic spindle formation, for stable association of the meiosis I spindle with the oocyte cortex, and for microtubule severing; MEI-1 exists in a physical complex with MEI-2 at the polar ends of meiotic spindle microtubules and meiotic chromatin; MEI-1 must be inactivated for meiosis to give way to mitosis, and ectopic expression of MEI-1/MEI-2 during mitosis is normally lethal; MEI-1 is bound by the BTB protein MEL-26 (both in vivo and in vitro), which physically links MEI-1 to CUL-3 (an E3 ubiquitin ligase); CUL-3, in turn, promotes MEI-1 proteolysis by the 26S proteasome during the transition from meiosis to mitosis; the MEI-1/MEI-2 complex requires tubules containing the germline-enriched beta tubulin TBB-2 in vivo, but does not require tubules made from TBB-2's (superficially) redundant paralog TBB-1."
F02E9.7,WBGene00008531,Proteolysis general,Proteolysis general: other,Proteolysis general: other,"F02E9.7 is an ortholog of human ACP5 (acid phosphatase 5, tartrate resistant); F02E9.7 is predicted to have hydrolase activity, based on protein domain information."
